ID,Question Number,Date,Topic,Tags,Question,Correct Answer,Explanation,Option 1,Option 2,Option 3,Option 4
7785,2451,2024-11-19 04:51:02+00:00,OB Complications,#Obstetrics,"In twin pregnancies, division of the conceptus on the 5th day post-fertilization may result in a twin pregnancy with:","B. Monochorionic, diamniotic pregnancy with a fused placenta","A. 8-12 days, C. 0-4 days, D. >13 days",A. Two embryos within a sac with one chorion and one amnion and one placenta,"B. Monochorionic, diamniotic pregnancy with a fused placenta","C. Dichorionic, diamniotic pregnancy with two separate placenta",D. Conjoined twinning
7787,2452,2024-11-19 04:56:56+00:00,Normal Labor and Delivery,#Obstetrics,Which of the following is TRUE about first stage of labor?,C. Evidence suggests that bladder distention has no impact on labor progress.,"A. not routine, B. must be avoided, D. should be non-supine",A. Antibiotics must be administered to all patients who delivered vaginally as prophylaxis.,B. Use of enemas hastens delivery and leads to cleaner birth outcomes.,C. Evidence suggests that bladder distention has no impact on labor progress.,D. Women are encouraged to maintain a supine position throughout the first stage of labor.
7790,2453,2024-11-20 10:57:24+00:00,Leprosy,"#InternalMedicine, #Dermatology, #Pharmacology",Which leprosy treatment can cause hyperpigmentation of skin?,Clofazimine,Clofazimine induced pigmentation is reversible but takes months to years to clear after stopping the drug.,Clofazimine,Dapsone,Rifampicin,All
7792,2454,2024-11-20 11:05:00+00:00,Mood Disorders,#Psychiatry,Diagnosing Bipolar I disorder requires:,At least 1 manic episode,Bipolar II - at least 1 hypomanic episode + at least 1 major depressive episode,At least 1 hypomanic episode,At least 1 manic episode,At least 1 hypomanic episode + at least 1 major depressive episode,At least 1 manic episode + at least major depressive episode
7794,2455,2024-11-20 11:21:12+00:00,Atopic Dermatitis,"#Dermatology, #InternalMedicine, #Immunology",Which is not part of the Hanifin and Rajka major criteria in diagnosing atopic dermatitis?,Food allergy,"Minor criteria: triggers of atopic dermatitis: foods, emotional factors, environmental factors, and skin irritants such as wool, solvents, and sweat.",Affected flexural areas in adults and extensory areas in infants,Chronic relapsing dermatitis,Food allergy,Personal or family history of atopy
7796,2456,2024-11-20 13:20:50+00:00,Psoariasis,"#Dermatology, #Pharmacology, #Rheumatology",The common first-line drug for psoriatic arthritis?,Methotrexate,"Alone or in combination with other therapies, MTX is considered a first-line treatment for moderate to severe psoriatic arthritis (PsA).",Biologics,Celecoxib,Corticosteroids,Cyclosporine
7799,2457,2024-11-20 13:25:31+00:00,Chronic Skin Diseases,"#Dermatology, #InternalMedicine",Are these lesions contagious?,No,"Psoriasis is not contagious and cannot spread between people. But, it can spread from one area of the body to another, especially without treatment.",Yes,No,,
7801,2458,2024-11-20 14:23:24+00:00,Fungal Diseases,"#Dermatology, #Pharmacology",Griseofulvin is effective against,Dermatophytes,Griseofulvin is fungistatic and has a limited spectrum of activity. It is used primarily to treat dermatophytosis and is not effective against yeasts such as Candida spp. and Malassezia spp.,Dermatophytes,Yeast cells,Both,None
7809,2459,2024-11-23 13:30:14+00:00,Classical and Clinical Epidemiology,"#Epidemiology, #PreventiveMedicine",Which of the following types of epidemiology is more population-oriented and ponders on community origins of health issues?,A. Classical Epidemiology,Classical epid - population-oriented ; Clinical epid - individual patients,A. Classical Epidemiology,B. Clinical Epidemiology,C. Both A and B,
7811,2460,2024-11-23 13:31:14+00:00,Disease Causation / Transmission,"#Epidemiology, #PreventiveMedicine","Which of the following factors of disease causation pertain to factors associated with immediate exposure to the disease agent or onset of disease, and examples can include close contact w/ a pulmonary TB patient or consumption of contaminated water?",C. Precipitating Factors,"Precipitating Factors are associated w/ immediate exposure to disease agent or onset of disease, and examples can include close contact w/ a pulmonary TB patient or consumption of contaminated water",A. Predisposing Factors,B. Enabling Factors,C. Precipitating Factors,D. Reinforcing Factors
7813,2461,2024-11-23 13:36:01+00:00,Concepts of Disease Transmission,"#Epidemiology, #PreventiveMedicine",Which of the following is not included in the Humoral Theory in ancient causation of diseases?,E. None of the above,"The four humors of the Humoral Theory in causation of diseases include all in the choices. Hence, none is excluded.",A. Phlegm,B. Yellow Bile,C. Black Bile,D. Blood
7815,2462,2024-11-23 13:40:05+00:00,Communicable Diseases,"#Epidemiology, #PreventiveMedicine","All communicable diseases are infectious but not all infectious diseases are communicable. All contagious diseases are communicable, but not all communicable diseases are necessarily contagious.",D. Both statements are true.,Infectious disease - may or may not be communicable. Contagious - a very communicable disease spreading rapidly by contact or close proximity…,A. Both statements are false.,B. Only the first statement is true.,C. Only the second statement is true.,D. Both statements are true.
7818,2463,2024-11-25 08:48:37+00:00,Neuroanatomy & Pain,"#Neurology, #Anesthesiology",The cell bodies of the third order neurons in the pain pathway is found in the,Thalamus,"In the thalamus, the third-order neurons then conduct the nociceptive impulse to the ipsilateral postcentral gyrus. 1st DRG, 2nd DH.",Dorsal root ganglia,Dorsal horn,Thalamus,Postcentral gyrus
7820,2464,2024-11-25 08:56:51+00:00,Neuroanatomy & Pain,"#Neurology, #Anesthesiology",The gate control of pain is found in this part. It plays a major role in modulating nociceptive input from cutaneous nociceptors.,Substantia gelatinosa,Rexed lamina II or the substantia gelatinosa is believed to house interneurons that regulate the transmission of pain by inhibiting transmission along both small and large diameter afferent fibers.,Anterior cingulate gyrus,Thalamus,Nucleus raphe,Periaqueductal gray
7822,2465,2024-11-25 09:07:55+00:00,Neuroanatomy & Pain,"#Neurology, #Anesthesiology",Discrimination and localization of the pain stimulus happens in the,Primary somatosensory cortex,"The primary somatosensory cortex is responsible for sensory discrimination, determining where the pain messaging is coming from.",Anterior cingulate gyrus,Dorsal root ganglia,Dorsal horn,Prefrontal cortex
7824,2466,2024-11-25 09:13:39+00:00,Neuroanatomy & Pain,"#Neurology, #Anesthesiology",Inhibiting the release of substance P will lead to,Blocking of pain transmission,"Activation of opiate receptors produces hyperpolarization, which result in the inhibition of firing and the release of substance P,  thereby blocking pain transmission.",Increase pain transmission,Blocking of pain transmission,,
7826,2467,2024-11-25 09:23:37+00:00,Neuroanatomy & Pain,"#Neurology, #Anesthesiology",The spinal cord tract for pain transmission is,Spinothalamic tract,"spinothalamic pathways carry crude touch, pain and temperature information from the body, and the spinal trigeminal pathway carries this information from the face.",Corticospinal tract,Dorsal column tract,Spinothalamic tract,
7828,2468,2024-11-25 09:28:27+00:00,Neurometabolism,"#Biochemistry, #Neurology","Case: A 66-year-old man who was recently diagnosed with Parkinson disease comes to the physician for a follow-up examination. Carbidopa-levodopa therapy was initiated at the time of diagnosis. The patient tells the physician that he still has episodes during which he ""freezes."" He has a clumsy gait, and there is rigidity of his upper extremities and hands.

An adjunct therapy designed to inhibit which of the following enzymes is most likely indicated in this patient?",Monoamine oxidase B,"MAO-B inhibitors are commonly used as adjunct therapy in Parkinson’s disease. MAO-B inhibitors prevent the breakdown of dopamine in the CNS, thereby prolonging its effect and improving motor symptoms.",Aromatic L-amino acid decarboxylase,Dopamine beta-hydroxylase,Monoamine oxidase B,Phenylethanolamine N-methyltransferase
7831,2469,2024-11-25 09:33:49+00:00,Breastfeeding,"#Biochemistry, #Pediatrics","Case: A 3-day-old female newborn is brought to the hospital because of a yellowish, milky fluid leaking from both nipples. She was delivered at term to a 20-year-old woman. Pregnancy and delivery were uncomplicated. Examination of the newborn is otherwise unremarkable.

Which of the following hormones is the most likely cause of this finding?",﻿﻿﻿A. Maternal estrogen,"The patient presents with signs suggestive of neonatal galactorrhea, commonly referred to as “witch’s milk.” This benign condition is caused by maternal hormones, such as estrogen.",﻿﻿﻿A. Maternal estrogen,﻿﻿﻿B. Maternal progesterone,﻿﻿﻿C. Maternal prolactin,﻿﻿﻿D. Newborn estrogen
7833,2470,2024-11-25 10:05:44+00:00,Neuroanatomy & Pain,"#Neurology, #Anesthesiology","This nerve fiber can inhibit the transmission of pain, ""closing the gate"" through activation of inhibitory interneurons.",A-beta fibers,The larger A-type fiber tends to close the gate while smaller C-type fiber tends to open the gate.The activation of the A-β fibers will inhibit the input from the noxious A-δ and C fibers.,A-beta fibers,A-delta fibers,C fibers,
7835,2471,2024-11-25 10:15:15+00:00,Pain,"#Anesthesiology, #Pharmacology",NSAIDs can decrease pain by acting primarily on this pain-processing pathway.,Transduction,"NSAIDs exert their effect through the inhibition of COX enzymes, thereby reducing the production of prostaglandins and diminishing nociceptive signal transduction.",Transduction,Transmission,Modulation,Perception
7837,2472,2024-11-25 10:59:52+00:00,Pain,"#Anesthesiology, #InternalMedicine","The goal of preventive analgesia is to minimize risk of sensitization that can possibly lead to chronic pain. Align with the principles of preventive analgesia, when should analgesics be given to a patient who will undergo surgery?",A & B & C,"Preventive analgesia is generally defined as an antinociceptive treatment that attenuates pain from high-intensity noxious stimuli before, during, and after the insult.",Before the incision,During the duration of surgery,Post-operative recovery period,A & B
7839,2473,2024-11-25 11:33:12+00:00,Pain,"#Anesthesiology, #InternalMedicine",Which type of pain occurs due to distension and ischemia but insensitive to cuts or burns?,Visceral pain,"Visceral pain arises when visceral organs become inflamed, distended, or ischemic. Because of the type and density of receptors, cutting, clamping, and sharp incision are not perceived as painful.",Somatic pain,Visceral pain,Neuropathic pain,Psychogenic pain
7841,2474,2024-11-25 11:36:06+00:00,Pain,"#Anesthesiology, #Anatomy",Which part of the pleura is sensitive to pain?,Parietal layer,"Only the parietal, but not the visceral, pleura contains pain-carrying fibers. The parietal pleura is supplied by the intercostal nerves.",Parietal layer,Visceral layer,Both,None
7846,2475,2024-11-26 03:34:39+00:00,Endometrial Biopsy,"#Obstetrics, #Gynecology",Which of the following is the gold standard for endometrial sampling in patients with postmenopausal bleeding?,Hysteroscopy with targeted endometrial biopsy,"Although endometrial biopsy with a pipelle is highly sensitive and specific for postmenopausal women and is more practical, hysteroscopy with targeted endometrial biopsy remains as the gold standard.",Hysteroscopy with targeted endometrial biopsy,Endometrial biopsy with a pipelle,Dilatation and curettage,Core needle biopsy
7848,2476,2024-11-26 03:38:55+00:00,Endometrial Biopsy,"#Obstetrics, #Gynecology",Which of the following is the most common cause of heavy menstrual bleeding in postmenopausal women?,Atrophy,"Atrophy, or thinning, of the vaginal and/or uterine lining is the most common cause of heavy menstrual bleeding in postmenopausal women.",Atrophy,Polycystic ovarian syndrome,Endometriosis,Accidental pregnancy
7851,2477,2024-11-26 12:25:40+00:00,Pain,#Anesthesiology,The gold standard of measuring pain is,Self-report,"A Numerical Rating Scale (NRS) ranging from 0 to 10, which is based on a patient's self-report, is the gold standard for pain evaluation in patients who can communicate their pain intensity.",Change in the Vital Signs,Physician's Observation,Physical Exam,Self-report
7853,2478,2024-11-26 13:11:10+00:00,Emerging Environmental Pollution,"#PublicHealth, #PreventiveMedicine","Among the following endocrine disrupting compounds, which is/are regulated pollutant/s?",E. All of the above,"All of the listed endocrine disrupting compounds in the choices are regulated pollutants, which also include chlorinated organic pesticides.",A. Dioxins,B. Polyaromatic hydrocarbons,C. Polychlorinated Biphenyls,D. A and B
7855,2479,2024-11-26 13:12:37+00:00,Pesticide ; Poisoning,"#PublicHealth, #PreventiveMedicine","In regard to the effects of Pyrethroids to humans, Type I poisoning is less severe than Type II. Between Permethrin and Fenvalerate, the former causes Type I while the latter causes Type II poisoning.",D. Both statements are true.,"In regard to the toxic effects of Pyrethroids to humans, Type I poisoning is less severe than Type II.  E.g., Permethrin (Type I) , Fenvalerate (Type II)",A. Both statements are false,B. Only the first statement is true.,C. Only the second statement is true.,D. Both statements are true.
7857,2480,2024-11-26 13:13:25+00:00,Pesticide ; Poisoning,"#PublicHealth, #PreventiveMedicine","All of the following characterize organophosphates, except:",B. It cannot be absorbed through inhalation.,Organophosphates are absorbed efficiently through inhalation and ingestion.,A. Most are highly toxic.,B. It cannot be absorbed through inhalation.,C. It is usually from phosphoric acid.,D. It breaks down faster in the environment.
7859,2481,2024-11-26 13:14:06+00:00,Food Contamination,"#PublicHealth, #PreventiveMedicine",Which of the following food holding temperatures will most likely permit the rapid growth of bacteria or infectious and toxin-producing organisms in food? (Units: degrees Celsius),D. 40,Danger zone temperature (4 to 60 or 5 to 57 degrees Celsius) refers to the food holding temperature that permits the rapid growth of bacteria or infectious and toxin-producing organisms in food.,A. 60,B. 4,C. -18,D. 40
7863,2482,2024-11-26 13:17:30+00:00,Food Contamination,"#PublicHealth, #PreventiveMedicine","30/M  presents with vertigo, joint & muscle pain, numbness & tingling sensation, diarrhea & vomiting. His symptoms started ~3 hours after eating well-cooked fish for lunch. Which of the following is a more likely suspected food allergen in this case?",A. Ciguatoxin,"Ciguatoxin: produced by marine algae then gets stored in fish flesh, skin, organs; causes vertigo, joint, muscle pain, numbness & tingling sensation, diarrhea, vomiting. sx onset: 15mins-24hrs. The...",A. Ciguatoxin,B. Scombrotoxin,C. Both A and B,
7865,2482,2024-11-26 13:23:31+00:00,Pain,"#Pharmacology, #Anesthesiology",The maximum dose of Paraceramol daily in a 80 kg adult.,4000 mg / day,"Maximum 8 tablets in 24 hours. >50 kg Max: 4,000 mg daily.",1000 mg / day,500 mg / day,2000 mg / day,3000 mg / day
7867,2483,2024-11-26 23:49:51+00:00,Gynecologic Malignancies of the Female Reproductive Tract,"#Obstetrics, #Gynecology",All of the following are advanced stage symptoms of ovarian cancer EXCEPT:,Adnexal masses,"Adnexal masses are often incidental findings, suggestive of ovarian cancer.",Bowel obstruction,Pleural effusion,Ascites,Adnexal masses
7870,,2024-11-27 01:19:35+00:00,,,"Which of the above best describe/s the medicinal properties of Lemongrass ?
",B. III and IV,I and II are properties of Guava. III and IV are properties of Lemongrass.,A. I and II,B. III and IV,"C. I,II, and III",D. II and IV
7872,2485,2024-11-27 01:30:14+00:00,Medicinal Plants,"#PreventiveMedicine, #Pharmacology","Which of the following is most known for indications as antispasmodic and anti-colic?
",Tsaang gubat,"Akapulco and Bawang - tx cutaneous fungal infection. 
Makabuhay - treat scabies.
Ipil-ipil - against intestinal worms. Tsaang Gubat - antispasmodic, anti-colic, tx for diarrhea.",Akapulco,Bawang,Makabuhay,Ipil-ipil
7874,2486,2024-11-27 03:10:21+00:00,Antenatal Care,#Obstetrics,At which week AOG does the gestational sac with yolk sac appear under sonography?,5-6 weeks,3-4: decidualization; 4-5 weeks: gestational sac; 7 weeks: embryo with heartbeat,3-4 weeks,4-5 weeks,5-6 weeks,7 weeks
7882,2487,2024-11-27 10:58:31+00:00,Pain,"#Anesthesiology, #Pharmacology","Which has a ceiling dose, which means that  above which no additional pain relief occurs?",NSAIDs,NSAIDs have a ceiling dose above which no additional pain relief occurs. There is no ceiling effect for pure opioid agonists.,NSAIDs,Opioids,Both,None
7886,2488,2024-11-28 10:42:32+00:00,Analgesics,"#Anesthesiology, #Pharmacology",Selective COX-2 inhibitors can have cardiovascular effects such as clot formation because there is,Decrease in prostacyclin,"Coxibs have been attributed to a reduction in antithrombotic, COX-2-derived prostacyclin without a reduction in prothrombotic, COX-1-derived platelet thromboxane.",Decrease in prostacyclin,Decrease in thromboxane A2,,
7888,2489,2024-11-28 10:55:40+00:00,Pain,"#Anesthesiology, #Pharmacology, #Therapeutics",Best adjunct therapy to give to a patient with trigeminal neuralgia,Carbamazepine,Carbamazepine is the criterion standard in the medical management of trigeminal neuralgia.,Carbamazepine,Clonidine,Dexamethasone,Gabapentin
7890,2490,2024-11-28 11:03:03+00:00,Analgesics,"#Pharmacology, #Therapeutics, #Anesthesiology, #Obstetrics",Best analgesic for pregnant women,Paracetamol,Paracetamol is the painkiller of choice for use in pregnancy and its use does not require medical supervision.,Fentanyl,Morphine,NSAIDs,Paracetamol
7892,,2024-11-28 12:44:27+00:00,,,Which of the following statements is true?,This is a reassuring CTG and the mother should be allowed home after a few hours.,"Provided other observations are normal and the mother is well, she can be allowed to go home, with advice to return if concerned.",This is a non-reassuring CTG and the doctors should perform a fetal scalp pH measurement.,The baseline is 160 bpm with prolonged decelerations.,The baseline is 130 bpm with decelerations,This is a reassuring CTG and the mother should be allowed home after a few hours.
7895,,2024-11-28 13:07:20+00:00,,,Which of the following statements is true?,This is a non-reassuring CTG and shows a fetal bradycardia. The baby should be delivered urgently.,This is a non-reassuring CTG and shows a fetal bradycardia. The baseline is at 140 bpm with a prolonged bradycardia down to approximately 60 bpm with some recovery up to 90 bpm at the end of the CTG.,This is a non-reassuring CTG and shows a fetal bradycardia. The baby should be delivered urgently.,The baseline is 160 bpm with prolonged decelerations.,The baseline is 130 bpm with decelerations.,This is a reassuring CTG because the baseline rate recovers and the mother should be allowed home af
7898,2493,2024-11-29 00:18:54+00:00,Anatomy and Physiology of the Female Reproductive System,"#Obstetrics, #Anatomy",An ectopic pregnancy in this segment of the fallopian tube is often the cause of severe maternal morbidity:,Intramural interstitial,"Approximately 2% of ectopic pregnancies occur at the intramural interstitial segment, resulting in severe maternal morbidity",Intramural interstitial,Isthmus,Ampulla,Infundibulum
7912,2494,2024-12-02 01:53:13+00:00,Plastic Surgery,#Surgery,Which type of burn can lead to numbness of skin? Patients don't usually feel pain around the affected area.,Third degree,Third-degree burns destroy the epidermis and dermis. The burn site appears white or charred. There is no sensation in the area since the nerve endings are destroyed.,First degree,Second degree,Third degree,All
7915,2495,2024-12-02 02:13:11+00:00,Plastic Surgery,"#Surgery, #Dermatology",This is an inflamed epidermal inclusion cyst. Should you immediately perform excision?,"No, initial incision and drainage first!","In infected epidermal cysts, delayed excision is performed after incision and drainage is performed after infection control.","Yes, to avoid further infection!","No, initial incision and drainage first!",,
7917,2496,2024-12-02 02:23:38+00:00,Anesthesia,"#Surgery, #Pharmacology, #Anesthesiology",The maximum dose of lidocaine with epinephrine is,7 mg/kg,"Max dose of LA with epinephrine is 7 mg/kg and conc of LA used is 2% (20 mg/mL), thus the max volume of LA, which can be safely used, is 0.35 mL/kg. In 60 kg adult, max is 21 mL (0.35 mL/kg × 60 kg).",1 mg/kg,3 mg/kg,5 mg/kg,7 mg/kg
7921,2497,2024-12-02 03:08:13+00:00,Plastic Surgery,#Surgery,Which one is a unilateral complete cleft lip?,A (above),"Complete: extends all the way into the nostril
Incomplete: does not extend up into the nostril",A (above),B (below),Both,None
7923,2498,2024-12-02 03:20:40+00:00,Plastic Surgery,#Surgery,Match the type of surgery to the correcting timing or age of the patient.,"Cheiloplasty - around 3 months, Palatoplasty - around 12 months","Timing of primary cleft lip repair surgery (cheiloplasty) occurs around 3 months of age.Timing of cleft palate repair surgery (palatoplasty), is performed between 9 to 12 months of age.","Cheiloplasty - around 3 months, Palatoplasty - around 3 months","Cheiloplasty - around 3 months, Palatoplasty - around 12 months","Cheiloplasty - around 12 months, Palatoplasty - around 3 months","Cheiloplasty - around 12 months, Palatoplasty - around 12 months"
7926,2499,2024-12-02 03:26:10+00:00,Plastic Surgery,#Surgery,This is,Submucosal cleft palate,"SMCP can include any, or all, of the following signs:
A very wide or split (bifid) uvula
Translucency of the tissue along the middle of the soft palate A notch in the back of the hard palate.",Complete cleft palate,Incomplete cleft palate,Submucosal cleft palate,
7929,2500,2024-12-02 04:43:44+00:00,Scars,"#Surgery, #Dermatology",This is a,Hypertrophic scar,"Unlike keloid scars, hypertrophic scars are limited to the area of damaged skin. They are prone to occur when there is a lot of tension on a healing wound, the resultant scar is thicker than usual.",Hypertrophic scar,Keloid scar,,
7932,2501,2024-12-02 12:55:47+00:00,Wound,"#Surgery, #Gastroenterology",Which layer of the GI tract has the greatest tensile strength and greatest suture holding capacity?,Submucosa,It is necessary to include the submucosa carefully because this is the strongest layer of the bowel wall and gives strength to the anastomosis.,Mucosa,Submucosa,Muscularis mucosae,Inner muscular layer
7934,2502,2024-12-02 13:14:56+00:00,Wound,"#Surgery, #Pathology, #Microbiology",What differentiates infection from colonization in terms of wound care? This is important in deciding whether to use antibiotics or not.,Presence of host response,Colonization is defined as the presence of proliferating bacteria without a host response.,Multiplication of bacteria in the wound,Presence of bacteria in the wound,Presence of host response,Type of bacteria in the wound
7938,2503,2024-12-03 01:28:40+00:00,The Cell as a Unit of Health and Disease,"#Pathology, #Biochemistry",Which of the following is TRUE about single nucleotide polymorphisms (SNPs) and their role in health?,C. SNPs may be in linkage disequilibrium and can be co-inherited with disease-associated genes.,A. occur throughout the genome; B. directly; D. weakly,A. SNPs occur exclusively in the exon regions of the genome.,B. SNPs primarily influence disease susceptibility indirectly by affecting regulatory elements.,C. SNPs may be in linkage disequilibrium and can be co-inherited with disease-associated genes.,D. SNPs strongly affects on disease susceptibility and is the primary focus of precision medicine.
7940,2504,2024-12-03 01:31:29+00:00,The Cell as a Unit of Health and Disease,"#Pathology, #Biochemistry",Which of the following is a form of genetic variation consisting of different numbers of large contiguous stretches of DNA?,Copy number variations (CNVs),,Single nucleotide polymorphisms (SNPs),Copy number variations (CNVs),Scaffolds,Contigs
7942,2505,2024-12-03 01:35:19+00:00,The Cell as a Unit of Health and Disease,"#Pathology, #Biochemistry",Which of the following is FALSE about chromatin organization?,Histone H2A sits on the 20 to 80 nucleotide linker DNA between nucleosomes.,Histone H1 helps stabilize the overall chromatin architecture.,Histone H2A sits on the 20 to 80 nucleotide linker DNA between nucleosomes.,Histone subunits are positively charged to facilitate compaction of negatively charged DNA.,Nucleosomes are comprised of octamers of histone proteins.,Methylation of histone residues tends to condense the DNA leading to gene silencing.
7946,2505,2024-12-03 10:47:32+00:00,Breast,"#Surgery, #Oncology",28/F with a palpable breast mass 1x1 cm at the right lower outer quadrant noticed 5 months ago. No change in size after 3 menstrual cycles. The best imaging to request is,Ultrasound,Mammograms are not usually performed in women under 30 years old. Women age 30 and older need a diagnostic mammogram and usually an ultrasound as well.,Diagnostic Mammogram,Ultrasound,Ultrasound & Diagnostic Mammogram,
7952,2506,2024-12-03 11:57:00+00:00,Breast,"#Surgery, #Radiology",What is the recommended action for a BI-RADS 0?,Need additional imaging to further evaluate,BI-RADS category 0 indicates insufficient imaging information to allow for complete evaluation.,Need additional imaging to further evaluate,Continue annual screening,Suggest 6 months follow-up,Biopsy required
7954,2507,2024-12-03 12:08:38+00:00,Breast,"#Surgery, #Pathology","The standard and preferred biopsy for all patients suspected to have breast cancer, with high sensitivity and diagnostic accuracy.",Core-needle biopsy,Core needle biopsy uses a hollow needle to remove samples of tissue from the breast. It's the standard and preferred way to diagnose breast cancer.,Core-needle biopsy,Excision biopsy,Fine-needle aspiration biopsy,Incision biopsy
7956,2508,2024-12-03 12:21:51+00:00,Breast,"#Surgery, #Pathology",The breast cancer subtype with the best prognosis and most responsive to hormonal therapy?,"Luminal A: ER/PR +, HER2 -, low Ki67",Patients with luminal-A breast cancer have a good prognosis; the relapse rate is significantly lower than the other subtypes.,"Luminal A: ER/PR +, HER2 -, low Ki67","Luminal B: ER/PR +, HER2 +, high Ki67","Her2-enriched: ER/PR -, HER2 +","Triple negative: ER/PR -, HER2 -"
7959,2509,2024-12-03 13:59:21+00:00,Thyroid and Neck,"#Surgery, #Radiology",Which echogenicity finding in a thyroid nodule is associated with the highest risk for malignancy? (Highest points given in ACR TI-RADS),Hypoechoic,"Malignant nodules, both carcinoma and lymphoma, typically appear solid and hypoechoic when compared with normal thyroid parenchyma, suggests that they are solid rather than fluid-filled.",Anechoic,Hyperechoic,Hypoechoic,Isoechoic
7961,2510,2024-12-03 14:05:39+00:00,Parathyroid Gland,"#Physiology, #Endocrinology, #InternalMedicine",Which of the following is not part of the expected changes when there is an increased parathyroid hormone (PTH)?,⬆️ Phosphate reabsorption in kidneys,"Excess PTH directly decreases renal phosphate reabsorption, leading to increased renal phosphate excretion and hypophosphatemia.",⬆️ Bone resorption,⬆️ Ca2+ reabsorption in kidneys,⬆️ Phosphate reabsorption in kidneys,⬆️ Ca2+ absorption in small intestines
7965,2511,2024-12-04 03:32:58+00:00,Primary Care,#FamilyMedicine,"Case: A 76-year-old male patient of yours is undergoing a left knee replacement for severe arthritis, and you are asked to perform his presurgical clearance. His past medical history is significant for episodic rate-controlled atrial fibrillation, a stroke at age 72 (from which he recovered fully), and uncontrolled hypertension. Last year, an echocardiogram showed he had severe aortic stenosis, but he has elected not to undergo surgical repair. He reports that he is sedentary, and is not able to walk up one flight of steps carrying his groceries without stopping to rest. His blood pressure upon evaluation is 168/92.

Which of the described features are clinical predictors of increased perioperative cardiovascular risk for this surgery?",D. Severe aortic stenosis,Severe heart valve disease is a major predictor of perioperative risk.,A. Advanced age,B. Rate-controlled atrial fibrillation,C. Uncontrolled hypertension,D. Severe aortic stenosis
7967,2512,2024-12-04 12:59:39+00:00,Rectum,"#Surgery, #Gastroenterology",The grade of a hemorrhoid pile that is manually reducible is,Grade 3,Grade I = asymptomatic; grade II = spontaneously reduces; grade III = must be manually reduced; grade IV = hemorrhoid prolapse that cannot be reduced,Grade 1,Grade 2,Grade 3,Grade 4
7969,2513,2024-12-04 13:15:02+00:00,Anus,"#Surgery, #Gastroenterology",The most common anal fissures are found in the,Posterior midline,"The majority of fissures are found in the posterior midline region (70%–80%), but anterior midline lesions (10%–20%) are more commonly seen in women.",Anterior midline,Posterior midline,Lateral,
7971,2514,2024-12-04 13:24:01+00:00,Anus,"#Surgery, #Gastroenterology",The mainstay treatment for perianal abscess is,Incision and drainage,"Mainstay of treatment is incision and drainage. Antibiotics are recommended when there is associated cellulitis of the surrounding skin, fail to improve after drainage and immunocompromised.",Antibiotics only,Fistulotomy,Incision and drainage,Observation and proper hygiene
7974,2515,2024-12-04 13:33:41+00:00,Liver,"#Surgery, #Gastroenterology",35/F presents with abdominal pain. No other systemic symptoms. CT-scan triphasic imaging shows a arterial contrast enhancement and isodense on venous phase. Shown above is the central scar. This is,Focal nodular hyperplasia,A central scar composed of fibrous and myxomatous elements is present in almost all cases of FNH.,Focal nodular hyperplasia,Hepatic adenoma,Hepatic cyst,Hepatocellular carcinoma
7976,2516,2024-12-04 13:41:38+00:00,Liver,"#Surgery, #Gastroenterology, #Anatomy",Caudate lobe is segment ___ in the liver.,1,The caudate lobe or segment I is located posteriorly. The caudate lobe is anatomically different from other lobes in that it often has direct connections to the IVC.,1,2,3,4a
7978,2517,2024-12-04 13:48:27+00:00,Liver,"#Surgery, #Gastroenterology","60/M heavy alcohol drinker for 20 years, with history of chronic hep B infection, came to consult for abdominal pain. CT-scan triphasic shows homogenous enhancement in arterial phase and washout lesion in venous phase. Isodense in delayed phase. This is",Hepatocellular carcinoma,"Most common attenuation pattern is iso-hyper-isoattenuation on prephase, arterial phase, and venous phase, respectively. Peripheral washout sign has been described solely in malignant liver lesions.",Amoebic liver abscess,Focal nodular hyperplasia,Hepatic adenoma,Hepatocellular carcinoma
7981,2518,2024-12-05 05:37:58+00:00,Breast,"#Surgery, #Anatomy",What muscle is used as a reference or key landmark in identifying the axillary lymph nodes?,Pectoralis minor,"Level I located at the lateral border of the pectoralis minor muscle, level II nodes are in the mid-region and level III nodes are at the apex near the medial area of the pectoralis minor muscle.",Pectoralis minor,Pectoralis major,Serratus anterior,Serratus posterior
7983,2519,2024-12-05 06:05:59+00:00,Breast,"#Surgery, #Physiology, #Endocrinology, #Obstetrics",The hormone primarily responsible for synthesis of milk products is,Prolactin,"prolactin and oxytocin are required to maintain milk secretion, with prolactin maintaining synthesis of milk products and oxytocin stimulating the letdown.",Estrogen,Oxytocin,Progesterone,Prolactin
7994,2520,2024-12-07 05:59:16+00:00,Anus,"#Surgery, #Gastroenterology",Excision of thrombosed hemorrhoids is recommended in the,First 72 hours,"Acutely tender, thrombosed external hemorrhoids can be surgically removed if encountered within the first 72 hours after onset.",First 72 hours,After 72 hours,,
7996,2521,2024-12-07 06:21:37+00:00,Thyroid Gland,"#Surgery, #ORL",Fine needle aspiration biopsy of a solitary nodule results showed suspicious for follicular neoplasm. The recommended action based on this Bethesda classification is,Lobectomy,IV. Follicular neoplasm or suspicious for follicular neoplasm: Molecular testing plus lobectomy; 10-40% risk of malignancy.,Aspiration of the material,Lobectomy,Observe and ultrasound annually,Radiation ablation
